,type,segment,name,number,diam,len,pathdist,dist,order,area
0,basal,0.2777777777777778,control_719[0].dend[23],23,0.4530000090599062,18.039060510737833,75.09788966219206,66.75912817510667,6,25.672135643560047
0,basal,0.3888888888888889,control_719[0].dend[23],23,0.4530000090599059,18.039060510737837,93.13695017292987,80.67312070743739,6,25.672135643560033
0,basal,0.5,control_719[0].dend[23],23,0.4530000090599062,18.039060510737833,111.17601068366771,92.1381402875395,6,25.672135643560047
0,basal,0.6111111111111112,control_719[0].dend[23],23,0.4530000090599062,18.039060510737833,129.21507119440557,95.21649778834208,6,25.672135643560047
0,basal,0.7222222222222222,control_719[0].dend[23],23,0.4530000090599058,18.039060510737833,147.2541317051434,103.90359441945834,6,25.672135643560026
0,basal,0.8333333333333334,control_719[0].dend[23],23,0.4530000090599058,18.039060510737833,165.29319221588125,109.59547334046539,6,25.672135643560026
0,basal,0.9444444444444444,control_719[0].dend[23],23,0.4530000090599062,18.039060510737833,183.33225272661906,116.18758466867097,6,25.672135643560047
0,basal,0.5,control_719[0].dend[24],24,0.8199999928474425,15.048621961527882,27.499312613825886,32.249332181414715,4,38.76684462665965
0,basal,0.5,control_719[0].dend[25],25,0.7049999833106995,30.06224673887156,49.99936185700594,48.445193142178375,5,66.58254854500287
0,basal,0.5,control_719[0].dend[26],26,0.6230000257492065,25.043816667282154,77.49944959398503,72.03180027150192,6,49.01606612232739
0,basal,0.5,control_719[0].dend[27],27,0.4490000009536743,34.84414071334919,107.3696504400921,96.90559847390614,7,49.15027742647737
0,basal,0.16666666666666666,control_719[0].dend[28],28,0.44900000095367426,26.69702307414202,103.29609162048854,92.95806891874966,7,37.65815611152213
0,basal,0.5,control_719[0].dend[28],28,0.44900000095367426,26.59316559595108,129.8892572164396,111.44365636623411,7,37.511657338374214
0,basal,0.8333333333333334,control_719[0].dend[28],28,0.449000000953674,26.59316559595108,156.48242281239072,133.12383007648418,7,37.51165733837419
0,basal,0.1,control_719[0].dend[29],29,0.453000009059906,20.97967211697993,75.40870325550787,68.84654165233569,6,29.857042057368965
0,basal,0.3,control_719[0].dend[29],29,0.45300000905990595,20.81862578010159,96.22732903560946,84.16621471239935,6,29.627850331847654
0,basal,0.5,control_719[0].dend[29],29,0.4530000090599061,20.818625780101595,117.04595481571104,102.25198758422486,6,29.627850331847668
0,basal,0.7,control_719[0].dend[29],29,0.45300000905990584,20.818625780101595,137.86458059581264,122.04906439012564,6,29.62785033184765
0,basal,0.9,control_719[0].dend[29],29,0.4530000090599061,20.818625780101595,158.68320637591427,141.1406056789226,6,29.627850331847668
0,basal,0.16666666666666666,control_719[0].dend[30],30,0.6269999742507933,21.676022406221318,45.78166850859762,45.592822404875605,5,42.696963181071546
0,basal,0.5,control_719[0].dend[30],30,0.6269999742507935,21.564670320085657,67.34633882868327,64.15919384009759,5,42.47762423443413
0,basal,0.8333333333333334,control_719[0].dend[30],30,0.6269999742507936,21.564670320085657,88.91100914876893,83.68148660509507,5,42.47762423443414
0,basal,0.5,control_719[0].dend[31],31,0.4530000090599061,24.948866943237803,112.11592348800687,105.92141951319148,6,35.505767938340085
0,basal,0.5,control_719[0].dend[32],32,0.453000009059906,33.881718756782746,116.58234939477933,108.08543137584391,6,48.21848007235837
0,basal,0.5,control_719[0].dend[33],33,1.1909039381613087,26.333899825095234,13.166646099353782,10.450228205256535,1,98.52394276797149
0,basal,0.1,control_719[0].dend[34],34,0.4690000116825104,19.407629409357185,35.82331158241992,26.62466972064716,2,28.595336855050725
0,basal,0.3,control_719[0].dend[34],34,0.4690000116825104,18.98003876742471,54.80335034984462,43.99802741732486,2,27.965321813840628
0,basal,0.5,control_719[0].dend[34],34,0.4690000116825101,18.98003876742471,73.78338911726934,62.91483197058457,2,27.96532181384061
0,basal,0.7,control_719[0].dend[34],34,0.46900001168251054,18.980038767424713,92.76342788469404,81.69724560910402,2,27.96532181384064
0,basal,0.9,control_719[0].dend[34],34,0.4690000116825102,18.98003876742471,111.74346665211876,100.46360642795257,2,27.965321813840614
0,basal,0.5,control_719[0].dend[35],35,0.6370000243186951,5.2415224100608055,28.833105205014967,20.746399495303898,2,10.489306325685032
0,basal,0.16666666666666666,control_719[0].dend[36],36,0.46500000357627863,20.023540230179062,41.29373563119729,31.747100616445803,3,29.251200426954142
0,basal,0.5,control_719[0].dend[36],36,0.46500000357627874,19.92163483974986,61.21537047094715,51.1919203214113,3,29.102332895750106
0,basal,0.8333333333333334,control_719[0].dend[36],36,0.46500000357627863,19.92163483974986,81.13700531069702,69.8864309912417,3,29.1023328957501
0,basal,0.07142857142857142,control_719[0].dend[37],37,0.46500000357627863,18.563624489276815,40.56377776074617,28.07134984730288,3,27.118496247139134
0,basal,0.21428571428571427,control_719[0].dend[37],37,0.46500000357627874,18.461719098847613,59.02549685959379,43.544260317520035,3,26.969628715935098
0,basal,0.35714285714285715,control_719[0].dend[37],37,0.46500000357627863,18.461719098847613,77.4872159584414,61.786374174097375,3,26.96962871593509
0,basal,0.5,control_719[0].dend[37],37,0.46500000357627913,18.461719098847613,95.948935057289,80.1572851712243,3,26.96962871593512
0,basal,0.6428571428571429,control_719[0].dend[37],37,0.46500000357627863,18.461719098847613,114.41065415613663,98.4986052282015,3,26.96962871593509
0,basal,0.7857142857142857,control_719[0].dend[37],37,0.46500000357627863,18.461719098847613,132.8723732549842,114.65534837640233,3,26.96962871593509
0,basal,0.9285714285714286,control_719[0].dend[37],37,0.4650000035762789,18.461719098847613,151.33409235383183,130.43094410113002,3,26.96962871593511
0,basal,0.5,control_719[0].dend[38],38,1.4159350175437384,35.77000331657783,17.884753822020645,3.96357594444563,1,159.11538557854996
0,basal,0.5,control_719[0].dend[39],39,0.7149999737739563,10.39676484789662,40.76993570790951,21.932130108902953,2,23.353615191480092
0,basal,0.16666666666666666,control_719[0].dend[40],40,0.6340000033378601,16.63159123897844,54.0646158270538,33.49775041818733,3,33.12630037176398
0,basal,0.5,control_719[0].dend[40],40,0.63400000333786,16.58850411055215,70.65311993760594,49.49220756047788,3,33.040480732626804
0,basal,0.8333333333333334,control_719[0].dend[40],40,0.6340000033378602,16.588504110552147,87.24162404815809,65.79881612234905,3,33.04048073262681
0,basal,0.1,control_719[0].dend[41],41,0.46099999547004694,18.055177006909663,104.51209936549245,82.04517135498239,4,26.148847018814667
